ProductKey;OrderDateKey;DueDateKey;ShipDateKey;CustomerKey;PromotionKey;CurrencyKey;SalesTerritoryKey;SalesOrderNumber;SalesOrderLineNumber;RevisionNumber;OrderQuantity;UnitPrice;ExtendedAmount;UnitPriceDiscountPct;DiscountAmount;ProductStandardCost;TotalProductCost;SalesAmount;TaxAmt;Freight;CarrierTrackingNumber;CustomerPONumber;OrderDate;DueDate;ShipDate
346;20101229;20110110;20110105;11003;1;6;9;SO43701;1;1;1;3399,99;3399,99;0;0;1912,1544;1912,1544;3399,99;271,9992;84,9998;;;2010-12-29T00:00:00;2011-01-10T00:00:00;2011-01-05T00:00:00
310;20101230;20110111;20110106;16624;1;6;9;SO43703;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2010-12-30T00:00:00;2011-01-11T00:00:00;2011-01-06T00:00:00
351;20101230;20110111;20110106;11005;1;6;9;SO43704;1;1;1;3374,99;3374,99;0;0;1898,0944;1898,0944;3374,99;269,9992;84,3748;;;2010-12-30T00:00:00;2011-01-11T00:00:00;2011-01-06T00:00:00
344;20101230;20110111;20110106;11011;1;6;9;SO43705;1;1;1;3399,99;3399,99;0;0;1912,1544;1912,1544;3399,99;271,9992;84,9998;;;2010-12-30T00:00:00;2011-01-11T00:00:00;2011-01-06T00:00:00
313;20101231;20110112;20110107;16351;1;6;9;SO43709;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2010-12-31T00:00:00;2011-01-12T00:00:00;2011-01-07T00:00:00
314;20101231;20110112;20110107;16517;1;6;9;SO43710;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2010-12-31T00:00:00;2011-01-12T00:00:00;2011-01-07T00:00:00
311;20110101;20110113;20110108;13513;1;29;8;SO43712;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-01T00:00:00;2011-01-13T00:00:00;2011-01-08T00:00:00
314;20110102;20110114;20110109;16483;1;6;9;SO43715;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-02T00:00:00;2011-01-14T00:00:00;2011-01-09T00:00:00
311;20110102;20110114;20110109;16529;1;6;9;SO43716;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-02T00:00:00;2011-01-14T00:00:00;2011-01-09T00:00:00
336;20110102;20110114;20110109;25249;1;6;9;SO43717;1;1;1;699,0982;699,0982;0;0;413,1463;413,1463;699,0982;55,9279;17,4775;;;2011-01-02T00:00:00;2011-01-14T00:00:00;2011-01-09T00:00:00
311;20110103;20110115;20110110;13264;1;29;8;SO43720;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-03T00:00:00;2011-01-15T00:00:00;2011-01-10T00:00:00
311;20110104;20110116;20110111;16520;1;6;9;SO43724;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-04T00:00:00;2011-01-16T00:00:00;2011-01-11T00:00:00
311;20110105;20110117;20110112;13258;1;29;8;SO43725;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-05T00:00:00;2011-01-17T00:00:00;2011-01-12T00:00:00
311;20110105;20110117;20110112;16607;1;6;9;SO43727;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-05T00:00:00;2011-01-17T00:00:00;2011-01-12T00:00:00
314;20110106;20110118;20110113;16629;1;6;9;SO43731;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-06T00:00:00;2011-01-18T00:00:00;2011-01-13T00:00:00
350;20110106;20110118;20110113;11025;1;6;9;SO43732;1;1;1;3374,99;3374,99;0;0;1898,0944;1898,0944;3374,99;269,9992;84,3748;;;2011-01-06T00:00:00;2011-01-18T00:00:00;2011-01-13T00:00:00
310;20110107;20110119;20110114;16522;1;6;9;SO43735;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-07T00:00:00;2011-01-19T00:00:00;2011-01-14T00:00:00
346;20110107;20110119;20110114;11002;1;6;9;SO43736;1;1;1;3399,99;3399,99;0;0;1912,1544;1912,1544;3399,99;271,9992;84,9998;;;2011-01-07T00:00:00;2011-01-19T00:00:00;2011-01-14T00:00:00
311;20110108;20110120;20110115;13261;1;29;8;SO43737;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-08T00:00:00;2011-01-20T00:00:00;2011-01-15T00:00:00
312;20110108;20110120;20110115;16527;1;6;9;SO43740;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-08T00:00:00;2011-01-20T00:00:00;2011-01-15T00:00:00
347;20110109;20110121;20110116;11007;1;6;9;SO43743;1;1;1;3399,99;3399,99;0;0;1912,1544;1912,1544;3399,99;271,9992;84,9998;;;2011-01-09T00:00:00;2011-01-21T00:00:00;2011-01-16T00:00:00
313;20110109;20110121;20110116;16631;1;6;9;SO43744;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-09T00:00:00;2011-01-21T00:00:00;2011-01-16T00:00:00
311;20110110;20110122;20110117;16514;1;6;9;SO43745;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-10T00:00:00;2011-01-22T00:00:00;2011-01-17T00:00:00
312;20110110;20110122;20110117;16616;1;6;9;SO43746;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-10T00:00:00;2011-01-22T00:00:00;2011-01-17T00:00:00
311;20110111;20110123;20110118;13265;1;29;8;SO43752;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-11T00:00:00;2011-01-23T00:00:00;2011-01-18T00:00:00
310;20110111;20110123;20110118;16482;1;6;9;SO43753;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-11T00:00:00;2011-01-23T00:00:00;2011-01-18T00:00:00
350;20110112;20110124;20110119;11017;1;6;9;SO43757;1;1;1;3374,99;3374,99;0;0;1898,0944;1898,0944;3374,99;269,9992;84,3748;;;2011-01-12T00:00:00;2011-01-24T00:00:00;2011-01-19T00:00:00
310;20110113;20110125;20110120;13257;1;29;8;SO43759;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-13T00:00:00;2011-01-25T00:00:00;2011-01-20T00:00:00
314;20110113;20110125;20110120;16352;1;6;9;SO43760;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-13T00:00:00;2011-01-25T00:00:00;2011-01-20T00:00:00
310;20110113;20110125;20110120;16493;1;6;9;SO43761;1;1;1;3578,27;3578,27;0;0;2171,2942;2171,2942;3578,27;286,2616;89,4568;;;2011-01-13T00:00:00;2011-01-25T00:00:00;2011-01-20T00:00:00
